"ID","Sexo","Edad","Fuma","Estatura","Colegio","Estrato","Financiacion","Acumulado","Gastos","Ingreso","Clases","Pandemia","Clases_virtuales","Estadistica","inseguridad","vida_cotidiana","Puntaje"
"SB11201910040310","Masculino","20.72","Si","Media","Privado",1,"Beca","3.78","39.6","1.32","Presencial","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",25
"SB11201910044292","Femenino","19.01","No","Alta","Privado",1,"Beca","4.05","41.6","1.39","Presencial","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",24
"SB11201910040447","Femenino","21.35","No","Media","Privado",1,"Beca","4.12","73.5","2.45","Virtual","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","De acuerdo",24
"SB11201910038184","Femenino","21.11","No","Baja","Privado",1,"Beca","4.14","70.9","0.53","Presencial","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",24
"SB11201910040312","Masculino","20.17","No","Baja","Privado",1,"Beca","3.54","58.8","1.95","Presencial","De acuerdo","En desacuerdo","Indeciso","Indeciso","Indeciso",22
"SB11201910038266","Femenino","16.04","No","Media","Privado",1,"Beca","3.15","46.5","0.55","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",20
"SB11201910038217","Femenino","20.84","No","Media","Privado",1,"Beca","4.65","44.1","1.57","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","Totalmente en desacuerdo","Totalmente en desacuerdo",20
"SB11201910038310","Femenino","16.43","No","Media","Privado",1,"Beca","4.07","59.7","0.99","Presencial","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo",19
"SB11201910037009","Femenino","21.65","Si","Media","Privado",1,"Beca","2.92","33.6","1.02","Virtual","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","Indeciso","Totalmente en desacuerdo",18
"SB11201910036872","Masculino","18.36","Si","Baja","Privado",1,"Beca","2.67","34.8","1.16","Presencial","De acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",18
"SB11201910040576","Femenino","21.85","Si","Baja","Privado",1,"Beca","4.10","44.7","1.49","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",17
"SB11201910037487","Femenino","19.09","Si","Alta","Privado",1,"Beca","2.91","66.6","1.22","Presencial","Ni de acuerdo, ni en desacuerdo","En desacuerdo","Indeciso","Totalmente de acuerdo","De acuerdo",17
"SB11201910042901","Masculino","21.78","Si","Media","Privado",1,"Beca","3.70","31.8","1.06","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",12
"SB11201910036704","Femenino","21.36","Si","Media","Privado",1,"Beca","4.34","53.4","0.78","Presencial","De acuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo",10
"SB11201910036941","Masculino","17.23","Si","Baja","Privado",1,"Beca","2.82","65.0","2.20","Virtual","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Indeciso",10
"SB11201910036898","Femenino","18.58","Si","Media","Privado",1,"Beca","2.94","35.4","1.18","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",9
"SB11201910038516","Masculino","18.09","No","Alta","Privado",1,"Beca","3.64","39.9","1.09","Presencial","En desacuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","De acuerdo",9
"SB11201910036930","Femenino","27.88","Si","Alta","Privado",3,"Beca","4.33","80.8","2.76","Presencial","De acuerdo","En desacuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo",10
"SB11201910037000","Femenino","20.82","Si","Alta","Privado",1,"Beca","4.28","79.5","2.65","Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",12
"SB11201910036683","Masculino","19.38","Si","Alta","Privado",1,"Beca","4.07","57.9","0.93","Presencial","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",14
"SB11201910037198","Femenino","16.59","Si","Media","Privado",2,"Beca","3.18","74.1","2.27","Presencial","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo",18
"SB11201910038551","Masculino","17.90","Si","Media","Privado",1,"Beca","3.45","46.8","1.56","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",16
"SB11201910040563","Femenino","16.04","Si","Media","Privado",1,"Beca","3.86","70.9","2.03","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Totalmente de acuerdo",0
"SB11201910037871","Masculino","20.35","Si","Media","Privado",2,"Beca","3.70","38.4","1.28","Presencial","De acuerdo","De acuerdo","En desacuerdo","Indeciso","En desacuerdo",77
"SB11201910037211","Femenino","17.59","Si","Media","Privado",3,"Beca","4.91","36.6","1.22","Presencial","De acuerdo","En desacuerdo","De acuerdo","Indeciso","Indeciso",72
"SB11201910036756","Femenino","19.89","Si","Baja","Privado",1,"Beca","3.53","46.5","1.55","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",60
"SB11201910037284","Femenino","17.05","Si","Baja","Privado",2,"Beca","4.30","73.6","2.10","Virtual","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",69
"SB11201910040552","Femenino","18.19","Si","Media","Privado",1,"Beca","3.62","44.7","1.49","Presencial","De acuerdo","Totalmente en desacuerdo","En desacuerdo","Indeciso","De acuerdo",65
"SB11201910040585","Masculino","20.17","Si","Baja","Privado",3,"Beca","4.08","52.6","0.92","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo",54
"SB11201910042854","Masculino","18.60","Si","Baja","Privado",3,"Beca","4.16","81.0","0.70","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",52
"SB11201910037236","Masculino","16.76","Si","Baja","Privado",2,"Beca","4.18","57.3","1.91","Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Indeciso",36
"SB11201910042910","Masculino","17.93","No","Alta","Privado",1,"Beca","4.80","35.4","1.18","Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","Totalmente de acuerdo",35
"SB11201910036984","Femenino","16.77","Si","Media","Privado",1,"Beca","3.73","48.3","0.61","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","En desacuerdo",35
"SB11201910036719","Masculino","19.17","Si","Media","Privado",1,"Beca","3.62","39.6","1.32","Presencial","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",34
"SB11201910040613","Femenino","18.17","Si","Baja","Privado",2,"Beca","3.51","32.1","1.07","Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","De acuerdo",32
"SB11201910037250","Femenino","21.82","Si","Alta","Privado",1,"Beca","4.15","42.3","1.41","Virtual","De acuerdo","En desacuerdo","Totalmente en desacuerdo","En desacuerdo","Indeciso",28
"SB11201910038501","Femenino","17.83","Si","Baja","Privado",1,"Beca","3.71","25.8","1.06","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910045994","Femenino","16.88","Si","Media","Privado",2,"Beca","3.57","45.7","1.52","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",28
"SB11201910045983","Femenino","16.42","Si","Baja","Privado",2,"Beca","4.72","53.4","0.78","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","En desacuerdo","Indeciso",28
"SB11201910046075","Masculino","19.66","Si","Media","Privado",2,"Beca","3.82","34.5","1.15","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",26
"SB11201910046027","Masculino","18.51","Si","Media","Privado",1,"Beca","3.45","37.5","1.25","Virtual","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",26
"SB11201910045892","Femenino","17.75","Si","Baja","Privado",1,"Beca","3.62","57.0","1.90","Presencial","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","De acuerdo",25
"SB11201910022784","Femenino","16.52","Si","Media","Privado",1,"Beca","4.56","44.7","1.49","Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",24
"SB11201910013511","Femenino","16.71","Si","Alta","Privado",2,"Beca","3.81","40.5","1.35","Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","En desacuerdo",24
"SB11201910013496","Masculino","16.37","Si","Media","Privado",1,"Beca","4.13","34.8","1.16","Virtual","De acuerdo","De acuerdo","Indeciso","En desacuerdo","Indeciso",24
"SB11201910014696","Masculino","16.89","Si","Baja","Privado",1,"Beca","3.58","38.7","1.29","Virtual","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","En desacuerdo",22
"SB11201910013469","Masculino","18.15","No","Media","Privado",1,"Beca","4.10","85.5","2.85","Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",21
"SB11201910047496","Femenino","19.10","No","Baja","Privado",3,"Beca","4.31","44.7","1.49","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","De acuerdo",27
"SB11201910013576","Masculino","16.65","No","Media","Privado",3,"Beca","4.42","39.9","1.33","Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",19
"SB11201910014705","Femenino","18.43","No","Media","Privado",2,"Beca","4.11","39.0","1.30","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",18
"SB11201910013426","Masculino","19.00","No","Media","Privado",2,"Beca","3.90","35.6","1.02","Virtual","De acuerdo","En desacuerdo","Indeciso","De acuerdo","De acuerdo",18
"SB11201910022798","Masculino","21.43","Si","Media","Privado",2,"Beca","4.00","48.6","0.61","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",17
"SB11201910035823","Masculino","16.63","No","Baja","Privado",2,"Beca","2.88","46.5","1.55","Virtual","De acuerdo","En desacuerdo","De acuerdo","Indeciso","Totalmente en desacuerdo",17
"SB11201910064436","Femenino","19.71","No","Media","Privado",1,"Beca","3.56","48.9","1.63","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",12
"SB11201910058624","Masculino","19.82","No","Media","Privado",1,"Beca","3.95","37.5","1.25","Presencial","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Totalmente de acuerdo",18
"SB11201910047596","Femenino","17.88","No","Baja","Privado",3,"Beca","3.78","75.3","0.51","Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",11
"SB11201910058846","Femenino","18.21","No","Media","Privado",1,"Beca","3.82","68.7","2.29","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","Indeciso",9
"SB11201910012200","Femenino","16.73","No","Media","Privado",2,"Beca","3.38","54.6","1.82","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",18
"SB11201910018381","Femenino","16.19","No","Baja","Privado",2,"Beca","4.02","55.2","1.84","Virtual","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",20
"SB11201910020806","Masculino","20.00","No","Media","Privado",1,"Beca","3.20","58.8","0.96","Virtual","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",22
"SB11201910016948","Masculino","18.41","Si","Alta","Privado",1,"Beca","4.22","47.8","0.59","Presencial","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",24
"SB11201910018401","Masculino","21.74","No","Media","Privado",3,"Beca","2.96","51.9","1.73","Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",26
"SB11201910020798","Masculino","20.83","No","Media","Privado",3,"Beca","3.98","42.6","1.42","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",28
"SB11201910018391","Masculino","17.25","No","Media","Privado",1,"Beca","3.71","31.8","1.06","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",81
"SB11201910020785","Femenino","17.32","No","Baja","Privado",2,"Beca","3.50","66.9","2.23","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",78
"SB11201910020838","Femenino","18.14","No","Media","Privado",3,"Beca","3.73","77.1","0.57","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",77
"SB11201910016953","Masculino","20.05","Si","Baja","Privado",1,"Beca","3.09","79.8","0.66","Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",70
"SB11201910016935","Masculino","17.56","No","Media","Privado",1,"Beca","3.87","38.1","1.07","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",68
"SB11201910018389","Femenino","19.85","No","Baja","Privado",1,"Beca","3.96","67.2","1.24","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",65
"SB11201910022580","Masculino","18.81","No","Baja","Privado",2,"Beca","3.45","34.5","1.15","Presencial","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Indeciso",54
"SB11201910028681","Masculino","21.89","No","Media","Privado",1,"Beca","4.07","65.7","1.19","Presencial","De acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Indeciso",50
"SB11201910012813","Masculino","16.73","No","Baja","Privado",1,"Beca","3.83","59.7","1.99","Virtual","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",36
"SB11201910021268","Masculino","19.02","Si","Media","Privado",1,"Beca","4.62","75.3","0.51","Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo",35
"SB11201910005660","Masculino","20.64","No","Alta","Privado",2,"Beca","3.59","30.3","1.01","Virtual","En desacuerdo","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo",35
"SB11201910021257","Masculino","20.90","No","Media","Privado",1,"Beca","3.87","51.9","1.73","Presencial","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","De acuerdo",34
"SB11201910009353","Masculino","16.52","No","Baja","Privado",1,"Beca","3.77","36.9","1.23","Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo",30
"SB11201910021272","Femenino","20.64","No","Media","Privado",1,"Beca","4.13","48.0","1.60","Presencial","De acuerdo","Totalmente en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910004115","Masculino","19.44","Si","Media","Privado",1,"Beca","2.83","87.7","0.91","Presencial","De acuerdo","De acuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910009323","Masculino","21.15","No","Media","Privado",1,"Beca","3.47","70.5","0.55","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",28
"SB11201910005666","Masculino","18.08","Si","Alta","Privado",1,"Beca","3.30","35.1","1.17","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910047409","Masculino","19.59","Si","Baja","Privado",3,"Beca","4.43","44.7","1.49","Presencial","De acuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo","De acuerdo",26
"SB11201910017256","Femenino","21.64","Si","Alta","Privado",2,"Beca","3.36","79.1","2.65","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Indeciso",26
"SB11201910021254","Masculino","18.19","Si","Alta","Privado",1,"Beca","3.08","62.4","2.08","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",25
"SB11201910009318","Femenino","17.55","Si","Media","Privado",1,"Beca","3.45","54.0","0.80","Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",24
"SB11201910005663","Femenino","17.48","Si","Baja","Privado",1,"Beca","3.71","33.9","1.13","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso",24
"SB11201910004145","Masculino","18.84","Si","Media","Privado",3,"Beca","3.38","49.6","0.64","Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","Indeciso","En desacuerdo",24
"SB11201910017269","Femenino","17.80","No","Media","Privado",1,"Beca","3.65","44.4","1.48","Virtual","En desacuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo",22
"SB11201910009280","Femenino","19.08","No","Media","Privado",2,"Credito","3.39","39.0","1.30","Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso","Indeciso",20
"SB11201910004152","Masculino","19.62","No","Media","Privado",1,"Credito","3.27","34.5","1.15","Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",20
"SB11201910031876","Masculino","21.87","Si","Baja","Privado",1,"Beca","3.08","43.1","1.32","Virtual","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo",19
"SB11201910005659","Masculino","18.95","Si","Media","Privado",1,"Beca","3.37","48.3","0.61","Virtual","En desacuerdo","Totalmente de acuerdo","Indeciso","En desacuerdo","Totalmente de acuerdo",18
"SB11201910021259","Femenino","20.81","Si","Alta","Privado",1,"Beca","3.83","25.1","1.37","Presencial","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","Indeciso",18
"SB11201910009275","Masculino","19.17","Si","Baja","Privado",1,"Beca","3.25","34.2","1.14","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Indeciso","Indeciso",17
"SB11201910024680","Masculino","20.75","No","Alta","Privado",1,"Beca","3.77","44.1","1.47","Virtual","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo",17
"SB11201910024695","Masculino","20.60","Si","Alta","Privado",1,"Beca","4.07","43.8","1.46","Presencial","En desacuerdo","Totalmente de acuerdo","Indeciso","En desacuerdo","De acuerdo",12
"SB11201910024824","Masculino","19.14","Si","Media","Privado",1,"Beca","4.03","43.0","1.10","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",10
"SB11201910024672","Masculino","18.03","No","Media","Privado",2,"Beca","3.40","45.6","1.52","Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",10
"SB11201910024549","Femenino","20.85","Si","Baja","Privado",1,"Beca","3.38","63.6","2.12","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",9
"SB11201910024610","Masculino","17.97","No","Baja","Privado",1,"Credito","4.27","49.5","1.65","Presencial","En desacuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",9
"SB11201910024540","Masculino","19.96","No","Media","Privado",2,"Credito","3.89","39.9","1.33","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","Totalmente de acuerdo","Indeciso",15
"SB11201910024576","Femenino","20.64","No","Baja","Privado",1,"Beca","3.02","70.8","0.36","Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","En desacuerdo",17
"SB11201910024670","Masculino","19.48","No","Baja","Privado",3,"Beca","3.19","41.1","1.37","Presencial","De acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Indeciso",19
"SB11201910024559","Femenino","17.48","No","Baja","Privado",3,"Beca","3.96","44.7","1.49","Presencial","Ni de acuerdo, ni en desacuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",21
"SB11201910024615","Femenino","17.22","No","Baja","Privado",1,"Beca","3.66","54.0","0.80","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","Indeciso","De acuerdo",23
"SB11201910029059","Masculino","21.54","No","Baja","Privado",1,"Beca","3.69","52.2","0.74","Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",0
"SB11201910024589","Masculino","16.34","No","Media","Privado",2,"Beca","2.90","45.9","1.50","Virtual","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",77
"SB11201910024676","Femenino","18.27","No","Baja","Privado",1,"Beca","3.37","57.6","0.92","Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo",72
"SB11201910024599","Masculino","17.33","No","Baja","Privado",3,"Beca","3.47","31.5","1.05","Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","De acuerdo",60
"SB11201910024573","Masculino","18.54","No","Media","Privado",3,"Credito","3.70","36.2","1.04","Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","Indeciso",69
"SB11201910024595","Femenino","16.38","No","Media","Privado",3,"Credito","3.35","48.6","1.62","Presencial","Ni de acuerdo, ni en desacuerdo","Ni de acuerdo, ni en desacuerdo","De acuerdo","Indeciso","Indeciso",65
"SB11201910024760","Femenino","20.56","No","Baja","Privado",3,"Credito","3.87","31.7","1.39","Presencial","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo",54
"SB11201910024538","Masculino","19.27","No","Baja","Privado",3,"Credito","3.73","36.0","1.20","Presencial","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",52
"SB11201910024703","Masculino","21.24","No","Media","Privado",2,"Beca","4.19","59.4","1.98","Virtual","En desacuerdo","En desacuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo",36
"SB11201910024544","Masculino","16.67","No","Baja","Privado",3,"Beca","3.23","76.6","1.22","Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","De acuerdo",35
"SB11201910013386","Masculino","17.85","No","Media","Privado",3,"Beca","3.41","50.0","2.00","Presencial","De acuerdo","En desacuerdo","Indeciso","De acuerdo","Totalmente en desacuerdo",35
"SB11201910024941","Masculino","20.78","No","Media","Privado",3,"Credito","3.01","46.5","1.55","Presencial","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo",34
"SB11201910013560","Femenino","19.62","No","Media","Privado",3,"Beca","3.82","38.4","1.28","Virtual","Ni de acuerdo, ni en desacuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",32
"SB11201910013475","Masculino","20.23","No","Media","Privado",3,"Credito","3.32","36.3","1.21","Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","De acuerdo",28
"SB11201910013521","Masculino","17.58","Si","Baja","Privado",2,"Beca","3.67","34.8","1.16","Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","Totalmente de acuerdo","Totalmente de acuerdo",28
"SB11201910011798","Masculino","19.58","No","Media","Privado",1,"Beca","2.94","47.7","1.59","Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","De acuerdo",28
"SB11201910011672","Masculino","16.05","No","Baja","Privado",2,"Credito","2.20","36.3","1.21","Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Indeciso",28
"SB11201910011696","Femenino","29.85","No","Baja","Privado",3,"Beca","3.95","67.5","2.25","Virtual","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo",26
